image        no.   paper label             tegula id  source
p60_42.png   159   3_2 4_2 - 1e NF p2      9009       picked
p60_43.png   160   3_2 4_2 - 2a MN cmm     218        picked
p61_00.png   161   3_2 4_2 - 2b NF cm      8968       picked
p61_01.png   162   3_2 4_2 - 2c NF pgg     9018       picked
p61_02.png   163   3_2 4_2 - 3a MN p6m     196        picked
p61_03.png   164   3_2 4_2 - 3b NF p6      8991       picked
p61_10.png   165   3_2 4_2 - 4a MN p4m     197        picked
p61_11.png   166   3_2 4_2 - 4b NF p4g     8956       picked
p61_12.png   167   3_2 4_2 - 4c NF p4      8992       picked
p61_13.png   168   3_2 4_2 - 5a MN p6m     198        picked
p61_20.png   169   3_2 4_2 - 5b NF p31m    8957       picked
p61_21.png   170   3_2 4_2 - 5c NF p6      8993       picked
p61_22.png   171   3_2 4_2 - 6a MN pmm     213        picked
p61_23.png   172   3_2 4_2 - 6b NF pm      8960       auto
p61_30.png   173   3_2 4_2 - 6c NF pmg     8961       picked
p61_31.png   174   3_2 4_2 - 6d NF pmg     8969       picked
p61_32.png   175   3_2 4_2 - 6e NF p2      9008       picked
p61_33.png   176   3_2 4_2 - 7a MNF pmg    8955       picked
p61_40.png   177   3_2 4_2 - 8a MN p6m     209        picked
p61_41.png   178   3_2 4_2 - 8b NF p31m    8947       picked
p61_42.png   179   3_2 4_2 - 8c NF p6      9004       picked
p61_43.png   180   3_2 4_2 - 9a MN cmm     217        picked
p62_00.png   181   3_2 4_2 - 9b NF cm      8967       picked
p62_01.png   182   3_2 4_2 - 9c NF pgg     9017       picked
p62_02.png   183   3_2 4_2 - 10a MN p4m    210        picked
p62_03.png   184   3_2 4_2 - 10b NF p4g    8945       picked
p62_10.png   185   3_2 4_2 - 10c NF p4     9005       picked
p62_11.png   186   3_2 4_2 - 11a MNF cmm   8946       picked
p62_12.png   187   3_2 4_2 - 12a MN p6m    211        picked
p62_13.png   188   3_2 4_2 - 12b NF p6     9006       picked
p62_20.png   189   3_2 4_2 - 13a MN cmm    212        picked
p62_21.png   190   3_2 4_2 - 13b NF p2     8986       picked
p62_22.png   191   3_2 4_2 - 13c NF pgg    9007       picked
p62_23.png   192   3_2 4_2 - 14a M cmm     206        picked
p62_30.png   193   3_2 4_2 - 14b NF pmg    8958       picked
p62_31.png   194   3_2 4_2 - 14c NF cm     8959       picked
p62_32.png   195   3_2 4_2 - 14d NF p2     8982       picked
p62_33.png   196   3_2 4_2 - 14e NF pgg    9001       picked
p62_40.png   197   3_2 4_4 - 1a MN p4g     1114       picked
p62_41.png   198   3_2 4_4 - 2a MN p31m    1115       auto
p62_42.png   199   3_2 4_4 - 3a MN cm      1111       auto
p62_43.png   200   3_2 4_4 - 4a MN pmm     72         auto
p63_00.png   201   3_2 4_4 - 4b N pmg      1141       picked
p63_01.png   202   3_2 4_4 - 4c N p2       1149       auto
p63_02.png   203   3_2 4_4 - 4d N cmm      1113       auto
p63_03.png   204   3_2 4_4 - 4e N pmg      1120       picked
p63_10.png   205   3_2 4_4 - 4f N pm       1121       auto
p63_11.png   206   3_2 4_4 - 4g N pmg      1122       picked
p63_12.png   207   3_2 4_4 - 5a MN p4g     77         picked
p63_13.png   208   3_2 4_4 - 5b N pgg      1154       auto
p63_20.png   209   3_3 4_1 - 1a MN p6m     64         auto
p63_21.png   210   3_3 4_1 - 1b N p31m     1125       auto
p63_22.png   211   3_3 4_1 - 1c N p6       1127       picked
p63_23.png   212   3_3 4_1 - 2a MN p6      1132       picked
p63_30.png   213   3_3 4_2 - 1a MN p31m    139        auto
p63_31.png   214   3_3 4_3 - 1a MNF p6     9025       auto
p63_32.png   215   3_3 4_3 - 2a MB p4g     221        auto
p63_33.png   216   3_3 4_3 - 2b NF p4      9024       auto
p63_40.png   217   3_3 4_3 - 2c NF pgg     9029       picked
