id,m,si,orient,off,curves,patch_ov,angles,lengths,whichEdge,mapping,iso_criteria,deep_criteria,aniso,min_block,block_criteria,block_bound,min_angle,spike_fatal,edge_ratio,on_clamp,vertex_figure,vdeg_match,homeo,wp,orbifold,evidence
3228,3,0,1,1,III,not tested,45.00 45.00 90.00,1.0000 0.7071 0.7071,0 1 2,0 0 0,"1,2,6,9",,no (tile),,,,45.00,,0.7071,,4 8,yes,3_3 3_3,p4,442,L2
3229,3,0,1,1,III,not tested,30.00 60.00 90.00,1.0000 0.5000 0.8660,0 1 2,0 0 0,1,,no (tile),,,,30.00,,0.5000,,4 6 12,yes,3_3 3_3,p6,632,L3
3231,3,0,0,2,JIJ,not tested,90.00 45.00 45.00,1.0000 1.4142 1.0000,0 1 0,0 0 3,9,,no (tile),,,,45.00,,0.7071,,4 8,yes,3_3 3_3,pgg,22x,L2
3231,3,0,1,1,ISI,not tested,90.00 44.91 45.09,1.0000 1.4121 0.9970,0 1 2,0 0 0,1,,no (tile),,,,44.91,,0.7061,,4 8,yes,3_3 3_3,pgg,22x,L2
3234,3,0,0,0,SIS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 2,0 0 0,1,,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,pg,1xx,L2
3234,3,0,0,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,pg,1xx,L2
3234,3,0,0,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,pg,1xx,L2
3234,3,0,1,0,JSJ,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 0,0 0 2,"2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,pg,1xx,L2
3234,3,0,1,1,IUU,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 2,"2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,pg,1xx,L2
3234,3,0,1,2,UUI,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 2,0 2 0,"2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,pg,1xx,L2
3235,3,0,0,0,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 2,0 0 0,1,,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p1,o1,L2
3235,3,0,0,1,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p1,o1,L2
3235,3,0,0,2,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p1,o1,L2
3235,3,0,1,0,JIJ,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 0,0 0 2,"2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p1,o1,L2
3235,3,0,1,1,IJJ,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 2,"2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p1,o1,L2
3235,3,0,1,2,JJI,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 2,0 2 0,"2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p1,o1,L2
